k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.02,0.0392156862745098,1
2,2.0,1.0,0.04,0.07692307692307693,1
3,3.0,1.0,0.06,0.11320754716981131,1
4,4.0,1.0,0.08,0.14814814814814814,1
5,5.0,1.0,0.1,0.18181818181818182,1
6,6.0,1.0,0.12,0.21428571428571425,1
7,7.0,1.0,0.14,0.24561403508771928,1
8,8.0,1.0,0.16,0.2758620689655173,1
9,9.0,1.0,0.18,0.3050847457627119,1
10,10.0,1.0,0.2,0.33333333333333337,1
11,11.0,1.0,0.22,0.36065573770491804,1
12,12.0,1.0,0.24,0.3870967741935484,1
13,13.0,1.0,0.26,0.41269841269841273,1
14,13.0,0.9285714285714286,0.26,0.40625,0
15,13.0,0.8666666666666667,0.26,0.4,0
16,14.0,0.875,0.28,0.42424242424242425,1
17,15.0,0.8823529411764706,0.3,0.44776119402985076,1
18,16.0,0.8888888888888888,0.32,0.47058823529411764,1
19,17.0,0.8947368421052632,0.34,0.4927536231884058,1
20,18.0,0.9,0.36,0.5142857142857143,1
