k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,1.0,0.3333333333333333,0.5,0.4
3,1.0,0.25,0.5,0.3333333333333333
4,2.0,0.4,1.0,0.5714285714285715
5,2.0,0.3333333333333333,1.0,0.5
6,2.0,0.2857142857142857,1.0,0.4444444444444445
7,2.0,0.25,1.0,0.4
8,2.0,0.2222222222222222,1.0,0.3636363636363636
9,2.0,0.2,1.0,0.33333333333333337
10,2.0,0.18181818181818182,1.0,0.3076923076923077
11,2.0,0.16666666666666666,1.0,0.2857142857142857
12,2.0,0.15384615384615385,1.0,0.2666666666666667
13,2.0,0.14285714285714285,1.0,0.25
14,2.0,0.13333333333333333,1.0,0.23529411764705882
15,2.0,0.125,1.0,0.2222222222222222
16,2.0,0.11764705882352941,1.0,0.21052631578947367
17,2.0,0.1111111111111111,1.0,0.19999999999999998
18,2.0,0.10526315789473684,1.0,0.1904761904761905
19,2.0,0.1,1.0,0.18181818181818182
