k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.014492753623188406,0.02857142857142857,1
2,2.0,1.0,0.028985507246376812,0.05633802816901409,1
3,3.0,1.0,0.043478260869565216,0.08333333333333333,1
4,4.0,1.0,0.057971014492753624,0.1095890410958904,1
5,5.0,1.0,0.07246376811594203,0.13513513513513511,1
6,6.0,1.0,0.08695652173913043,0.16,1
7,7.0,1.0,0.10144927536231885,0.1842105263157895,1
8,8.0,1.0,0.11594202898550725,0.20779220779220778,1
9,9.0,1.0,0.13043478260869565,0.23076923076923078,1
10,10.0,1.0,0.14492753623188406,0.25316455696202533,1
11,11.0,1.0,0.15942028985507245,0.27499999999999997,1
12,12.0,1.0,0.17391304347826086,0.29629629629629634,1
13,13.0,1.0,0.18840579710144928,0.3170731707317073,1
14,14.0,1.0,0.2028985507246377,0.3373493975903615,1
15,14.0,0.9333333333333333,0.2028985507246377,0.33333333333333337,0
16,15.0,0.9375,0.21739130434782608,0.3529411764705882,1
17,16.0,0.9411764705882353,0.2318840579710145,0.372093023255814,1
18,17.0,0.9444444444444444,0.2463768115942029,0.39080459770114945,1
19,18.0,0.9473684210526315,0.2608695652173913,0.4090909090909091,1
20,19.0,0.95,0.2753623188405797,0.42696629213483145,1
