k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.024390243902439025,0.047619047619047616,1
2,2.0,1.0,0.04878048780487805,0.09302325581395349,1
3,3.0,1.0,0.07317073170731707,0.13636363636363635,1
4,4.0,1.0,0.0975609756097561,0.17777777777777776,1
5,5.0,1.0,0.12195121951219512,0.21739130434782605,1
6,5.0,0.8333333333333334,0.12195121951219512,0.21276595744680848,0
7,5.0,0.7142857142857143,0.12195121951219512,0.20833333333333334,0
8,6.0,0.75,0.14634146341463414,0.24489795918367344,1
9,7.0,0.7777777777777778,0.17073170731707318,0.27999999999999997,1
10,8.0,0.8,0.1951219512195122,0.3137254901960785,1
11,9.0,0.8181818181818182,0.21951219512195122,0.34615384615384615,1
12,10.0,0.8333333333333334,0.24390243902439024,0.37735849056603776,1
13,11.0,0.8461538461538461,0.2682926829268293,0.4074074074074075,1
14,12.0,0.8571428571428571,0.2926829268292683,0.4363636363636364,1
15,13.0,0.8666666666666667,0.3170731707317073,0.4642857142857143,1
16,13.0,0.8125,0.3170731707317073,0.45614035087719296,0
17,14.0,0.8235294117647058,0.34146341463414637,0.48275862068965514,1
18,15.0,0.8333333333333334,0.36585365853658536,0.5084745762711864,1
19,15.0,0.7894736842105263,0.36585365853658536,0.4999999999999999,0
20,16.0,0.8,0.3902439024390244,0.5245901639344263,1
