k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.02,0.0392156862745098,1
2,2.0,1.0,0.04,0.07692307692307693,1
3,3.0,1.0,0.06,0.11320754716981131,1
4,4.0,1.0,0.08,0.14814814814814814,1
5,4.0,0.8,0.08,0.14545454545454545,0
6,5.0,0.8333333333333334,0.1,0.17857142857142858,1
7,6.0,0.8571428571428571,0.12,0.21052631578947367,1
8,7.0,0.875,0.14,0.24137931034482757,1
9,8.0,0.8888888888888888,0.16,0.27118644067796616,1
10,9.0,0.9,0.18,0.3,1
11,10.0,0.9090909090909091,0.2,0.32786885245901637,1
12,10.0,0.8333333333333334,0.2,0.3225806451612903,0
13,11.0,0.8461538461538461,0.22,0.3492063492063492,1
14,12.0,0.8571428571428571,0.24,0.375,1
15,13.0,0.8666666666666667,0.26,0.4,1
16,14.0,0.875,0.28,0.42424242424242425,1
17,15.0,0.8823529411764706,0.3,0.44776119402985076,1
18,16.0,0.8888888888888888,0.32,0.47058823529411764,1
19,16.0,0.8421052631578947,0.32,0.463768115942029,0
20,16.0,0.8,0.32,0.45714285714285713,0
