k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.029411764705882353,0.05714285714285715,1
2,2.0,1.0,0.058823529411764705,0.1111111111111111,1
3,2.0,0.6666666666666666,0.058823529411764705,0.10810810810810811,0
4,2.0,0.5,0.058823529411764705,0.10526315789473684,0
5,3.0,0.6,0.08823529411764706,0.15384615384615385,1
6,4.0,0.6666666666666666,0.11764705882352941,0.2,1
7,5.0,0.7142857142857143,0.14705882352941177,0.24390243902439024,1
8,6.0,0.75,0.17647058823529413,0.2857142857142857,1
9,7.0,0.7777777777777778,0.20588235294117646,0.3255813953488372,1
10,8.0,0.8,0.23529411764705882,0.3636363636363636,1
11,9.0,0.8181818181818182,0.2647058823529412,0.39999999999999997,1
12,10.0,0.8333333333333334,0.29411764705882354,0.4347826086956522,1
13,11.0,0.8461538461538461,0.3235294117647059,0.46808510638297873,1
14,12.0,0.8571428571428571,0.35294117647058826,0.5,1
15,13.0,0.8666666666666667,0.38235294117647056,0.5306122448979592,1
16,13.0,0.8125,0.38235294117647056,0.52,0
17,13.0,0.7647058823529411,0.38235294117647056,0.5098039215686274,0
18,13.0,0.7222222222222222,0.38235294117647056,0.4999999999999999,0
19,14.0,0.7368421052631579,0.4117647058823529,0.5283018867924528,1
20,14.0,0.7,0.4117647058823529,0.5185185185185185,0
