k,hits,precision,recall,fmeasure
1,1.0,1.0,0.021739130434782608,0.042553191489361694
2,2.0,1.0,0.043478260869565216,0.08333333333333333
3,3.0,1.0,0.06521739130434782,0.12244897959183672
4,4.0,1.0,0.08695652173913043,0.16
5,5.0,1.0,0.10869565217391304,0.19607843137254902
6,5.0,0.8333333333333334,0.10869565217391304,0.1923076923076923
7,6.0,0.8571428571428571,0.13043478260869565,0.22641509433962262
8,7.0,0.875,0.15217391304347827,0.2592592592592593
9,8.0,0.8888888888888888,0.17391304347826086,0.29090909090909095
10,8.0,0.8,0.17391304347826086,0.2857142857142857
11,9.0,0.8181818181818182,0.1956521739130435,0.3157894736842105
12,10.0,0.8333333333333334,0.21739130434782608,0.3448275862068966
13,11.0,0.8461538461538461,0.2391304347826087,0.3728813559322034
14,12.0,0.8571428571428571,0.2608695652173913,0.4
15,13.0,0.8666666666666667,0.2826086956521739,0.4262295081967213
16,14.0,0.875,0.30434782608695654,0.4516129032258065
17,15.0,0.8823529411764706,0.32608695652173914,0.47619047619047616
18,16.0,0.8888888888888888,0.34782608695652173,0.5
19,17.0,0.8947368421052632,0.3695652173913043,0.5230769230769231
20,18.0,0.9,0.391304347826087,0.5454545454545454
